Station,From Line,To Line,Time
Baker Street,Jubilee,Circle,2
Baker Street,Circle,Jubilee,2
Baker Street,Jubilee,Bakerloo,2
Baker Street,Bakerloo,Jubilee,2
Baker Street,Bakerloo,Circle,2
Baker Street,Circle,Bakerloo,2
Bond Street,Central,Jubilee,2
Bond Street,Jubilee,Central,2
Green Park,Victoria,Piccadilly,2
Green Park,Piccadilly,Victoria,2
Green Park,Victoria,Jubilee,2
Green Park,Jubilee,Victoria,2
Green Park,Piccadilly,Jubilee,2
Green Park,Jubilee,Piccadilly,2
Oxford Circus,Central,Victoria,2
Oxford Circus,Victoria,Central,2
Oxford Circus,Central,Bakerloo,2
Oxford Circus,Bakerloo,Central,2
Oxford Circus,Bakerloo,Victoria,2
Oxford Circus,Victoria,Bakerloo,2
King’s Cross St Pancras,Piccadilly,Victoria,2
King’s Cross St Pancras,Victoria,Piccadilly,2
King’s Cross St Pancras,Northern,Piccadilly,2
King’s Cross St Pancras,Piccadilly,Northern,2
King’s Cross St Pancras,Northern,Victoria,2
King’s Cross St Pancras,Victoria,Northern,2
Liverpool Street,Central,Circle,2
Liverpool Street,Circle,Central,2
Moorgate,Northern,Circle,2
Moorgate,Circle,Northern,2
Westminster,Jubilee,Circle,2
Westminster,Circle,Jubilee,2
Waterloo,Jubilee,Northern,2
Waterloo,Northern,Jubilee,2
Waterloo,Northern,Bakerloo,2
Waterloo,Bakerloo,Northern,2
Waterloo,Bakerloo,Jubilee,2
Waterloo,Jubilee,Bakerloo,2
Embankment,Northern,Circle,2
Embankment,Circle,Northern,2
Embankment,Bakerloo,Circle,2
Embankment,Circle,Bakerloo,2
Embankment,Bakerloo,Northern,2
Embankment,Northern,Bakerloo,2
Baker Street,Jubilee,Bakerloo,2
Baker Street,Bakerloo,Jubilee,2
Baker Street,Jubilee,Circle,2
Baker Street,Circle,Jubilee,2
Baker Street,Bakerloo,Circle,2
Baker Street,Circle,Bakerloo,2
Bond Street,Central,Jubilee,2
Bond Street,Jubilee,Central,2
Green Park,Victoria,Piccadilly,2
Green Park,Piccadilly,Victoria,2
Green Park,Victoria,Jubilee,2
Green Park,Jubilee,Victoria,2
Oxford Circus,Central,Victoria,2
Oxford Circus,Victoria,Central,2
Oxford Circus,Central,Bakerloo,2
Oxford Circus,Bakerloo,Central,2
Oxford Circus,Victoria,Bakerloo,2
Oxford Circus,Bakerloo,Victoria,2
King’s Cross St Pancras,Northern,Piccadilly,2
King’s Cross St Pancras,Piccadilly,Northern,2
King’s Cross St Pancras,Northern,Victoria,2
King’s Cross St Pancras,Victoria,Northern,2
King’s Cross St Pancras,Piccadilly,Victoria,2
King’s Cross St Pancras,Victoria,Piccadilly,2
King’s Cross St Pancras,Northern,Circle,3
King’s Cross St Pancras,Circle,Northern,3
Waterloo,Jubilee,Northern,2
Waterloo,Northern,Jubilee,2
Waterloo,Bakerloo,Jubilee,2
Waterloo,Jubilee,Bakerloo,2
Waterloo,Northern,Bakerloo,2
Waterloo,Bakerloo,Northern,2
Embankment,Northern,District,2
Embankment,District,Northern,2
Embankment,Northern,Bakerloo,2
Embankment,Bakerloo,Northern,2
Embankment,District,Bakerloo,2
Embankment,Bakerloo,District,2
Westminster,Jubilee,District,3
Westminster,District,Jubilee,3
South Kensington,Piccadilly,District,2
South Kensington,District,Piccadilly,2
Leicester Square,Northern,Piccadilly,2
Leicester Square,Piccadilly,Northern,2
Tottenham Court Road,Central,Northern,2
Tottenham Court Road,Northern,Central,2
Holborn,Central,Piccadilly,2
Holborn,Piccadilly,Central,2
Bank,Central,Northern,3
Bank,Northern,Central,3
Bank,Central,Waterloo & City,3
Bank,Waterloo & City,Central,3
